N,T,system,initial_helliger_fidelity,initial_TV,zne_hellinger_fidelity,zne_hel_degree,zne_hel_number_of_points,zne_TV,zne_TV_degree,zne_TV_number_of_points,ffzne_hellinger_fidelity,ffzne_TV,rbzne_hellinger_fidelity,rbzne_hel_number_of_points,rbzne_TV,rbzne_TV_number_of_points
7,1,ibm_kyoto,0.5818132899158163,0.5182395245377772,0.5838418046305994,1,5,0.5274205778283118,1,5,0.5599227776459222,0.5642111239477939,0.5669984581010712,5,0.5553244799410999,5
7,2,ibm_kyoto,0.6608667956083104,0.45703420275156426,0.6666921712090579,1,4,0.45269631631860396,1,4,0.6637223467969292,0.44636724994386634,0.6658750581534947,5,0.44367386590194535,5
7,3,ibm_kyoto,0.7781119063643498,0.36918525226612087,0.7825022461364003,1,3,0.36112396307424743,1,3,0.7828717462735745,0.3654870449428993,0.7850934528889413,4,0.3636372950498071,4
8,1,ibm_kyoto,0.6498429355814243,0.4908749354593488,0.6541063985250904,1,2,0.4931469556474017,1,2,0.6419274410480235,0.5057147204602964,0.6404448344141088,2,0.5066679030137579,2
8,2,ibm_kyoto,0.7438787872760896,0.4165189039508058,0.7550830734608187,1,2,0.40171533630371103,1,2,0.7593126047047426,0.39459960427134194,0.760025035671926,4,0.3948294740396635,4
8,3,ibm_kyoto,0.6996950663624769,0.44992901870529745,0.7067503072697865,1,2,0.4450863557436565,1,2,0.7221695605292039,0.4337558861957618,0.7236895108465551,5,0.43182695481734656,5
9,1,ibm_kyoto,0.5848913295020984,0.5359943568427449,0.5851933465708671,1,5,0.5343237933391912,1,5,0.5687201315468609,0.5545390003497915,0.5686410757978068,2,0.5545999549548067,2
9,2,ibm_kyoto,0.7013116541673149,0.44726935858415445,0.7070508618772593,1,2,0.43753032454372426,1,2,0.7097607553560823,0.4271119192522424,0.7097235256397597,2,0.4272271705256173,2
9,3,ibm_kyoto,0.7213435197693222,0.4225256438648442,0.7280483812712113,1,3,0.4160318294948001,1,3,0.7394792243711353,0.40503143729810304,0.7398289111089532,3,0.4041360456312923,3
10,1,ibm_kyoto,0.49968956957626354,0.584063438837416,0.5020590747669686,1,5,0.5800291637355777,1,5,0.4791583193329544,0.6030333147936519,0.48068136136900863,3,0.6017754405058912,3
10,2,ibm_kyoto,0.6416449918966433,0.4758757009231332,0.6449224142619462,1,3,0.4702688859050405,1,2,0.6481146804408778,0.45878430020678945,0.6484466244004554,4,0.4575071579860901,5
10,3,ibm_kyoto,0.6679229069179045,0.4713506338528111,0.677990780018378,1,2,0.46101650001301114,1,2,0.6876020923683276,0.4481102628531372,0.6879794182884674,4,0.44743653340560224,4
